COUNTRY		HEMISPHERE (North, South, equatorial region)
New Zealand	is located in the	southern hemisphere
Niue (New Zealand)	is located in the	southern hemisphere
Norfolk Island (Australia)	is located in the	southern hemisphere
Pitcairn Islands (United Kingdom)	is located in the	southern hemisphere
Solomon Islands	is located in the	southern hemisphere
Territory of New Caledonia and Dependencies (France)	is located in the	southern hemisphere
Tokelau (New Zealand)	is located in the	southern hemisphere
Wallis and Futuna (France)	is located in the	southern hemisphere
Mayotte (France)	is located in the	southern hemisphere
Jarvis Island (United States)	is located in the	southern hemisphere
Democratic Republic of the Congo	is located in the	equatorial region
Gabon	is located in the	equatorial region
Republic of the Congo	is located in the	equatorial region
equatorial regionial Guinea	is located in the	equatorial region
Kenya	is located in the	equatorial region
São Tomé and Príncipe	is located in the	equatorial region
Somalia	is located in the	equatorial region
Uganda	is located in the	equatorial region
Indonesia	is located in the	equatorial region
Maldives	is located in the	equatorial region
Brazil	is located in the	equatorial region
Ecuador	is located in the	equatorial region
Colombia	is located in the	equatorial region
Kiribati	is located in the	equatorial region
Albania	is located in the	northern hemisphere
Andorra	is located in the	northern hemisphere
Armenia	is located in the	northern hemisphere
Austria	is located in the	northern hemisphere
Azerbaijan	is located in the	northern hemisphere
Belarus	is located in the	northern hemisphere
Belgium	is located in the	northern hemisphere
Bosnia and Herzegovina	is located in the	northern hemisphere
Bulgaria	is located in the	northern hemisphere
Croatia	is located in the	northern hemisphere
Cyprus	is located in the	northern hemisphere
Czech Republic	is located in the	northern hemisphere
Denmark	is located in the	northern hemisphere
Estonia	is located in the	northern hemisphere
Finland	is located in the	northern hemisphere
France	is located in the	northern hemisphere
Georgia	is located in the	northern hemisphere
Germany	is located in the	northern hemisphere
Greece	is located in the	northern hemisphere
Hungary	is located in the	northern hemisphere
Iceland	is located in the	northern hemisphere
Republic of Ireland	is located in the	northern hemisphere
Italy	is located in the	northern hemisphere
Kazakhstan	is located in the	northern hemisphere
Latvia	is located in the	northern hemisphere
Liechtenstein	is located in the	northern hemisphere
Lithuania	is located in the	northern hemisphere
Luxembourg	is located in the	northern hemisphere
Republic of Macedonia	is located in the	northern hemisphere
Malta	is located in the	northern hemisphere
Moldova	is located in the	northern hemisphere
Monaco	is located in the	northern hemisphere
Montenegro	is located in the	northern hemisphere
Netherlands	is located in the	northern hemisphere
Norway	is located in the	northern hemisphere
Poland	is located in the	northern hemisphere
Portugal	is located in the	northern hemisphere
Romania	is located in the	northern hemisphere
Russia	is located in the	northern hemisphere
San Marino	is located in the	northern hemisphere
Serbia	is located in the	northern hemisphere
Slovakia	is located in the	northern hemisphere
Slovenia	is located in the	northern hemisphere
Spain	is located in the	northern hemisphere
Sweden	is located in the	northern hemisphere
Switzerland	is located in the	northern hemisphere
Turkey	is located in the	northern hemisphere
Ukraine	is located in the	northern hemisphere
United Kingdom	is located in the	northern hemisphere
Vatican City	is located in the	northern hemisphere
Bermuda (UK)	is located in the	northern hemisphere
Canada	is located in the	northern hemisphere
Greenland (Denmark)	is located in the	northern hemisphere
Mexico	is located in the	northern hemisphere
Saint Pierre and Miquelon (France)	is located in the	northern hemisphere
United States	is located in the	northern hemisphere
Anguilla (UK)	is located in the	northern hemisphere
Antigua and Barbuda	is located in the	northern hemisphere
Aruba	is located in the	northern hemisphere
The Bahamas	is located in the	northern hemisphere
Barbados	is located in the	northern hemisphere
Bonaire (Netherlands)	is located in the	northern hemisphere
British Virgin Islands (UK)	is located in the	northern hemisphere
Cayman Islands (UK)	is located in the	northern hemisphere
Cuba	is located in the	northern hemisphere
Curaçao	is located in the	northern hemisphere
Dominica	is located in the	northern hemisphere
Dominican Republic	is located in the	northern hemisphere
Grenada	is located in the	northern hemisphere
Guadeloupe (France)	is located in the	northern hemisphere
Haiti	is located in the	northern hemisphere
Jamaica	is located in the	northern hemisphere
Martinique (France)	is located in the	northern hemisphere
Montserrat (UK)	is located in the	northern hemisphere
Navassa Island (US)	is located in the	northern hemisphere
Puerto Rico (US)	is located in the	northern hemisphere
Saba (Netherlands)	is located in the	northern hemisphere
Saint Barthélemy (France)	is located in the	northern hemisphere
Saint Kitts and Nevis	is located in the	northern hemisphere
Saint Lucia	is located in the	northern hemisphere
Saint Martin (France)	is located in the	northern hemisphere
Saint Vincent and the Grenadines	is located in the	northern hemisphere
Sint Eustatius (Netherlands)	is located in the	northern hemisphere
Sint Maarten	is located in the	northern hemisphere
Trinidad and Tobago	is located in the	northern hemisphere
Turks and Caicos Islands (UK)	is located in the	northern hemisphere
United States Virgin Islands (US)	is located in the	northern hemisphere
Belize	is located in the	northern hemisphere
Clipperton Island (France)	is located in the	northern hemisphere
Costa Rica	is located in the	northern hemisphere
El Salvador	is located in the	northern hemisphere
Guatemala	is located in the	northern hemisphere
Honduras	is located in the	northern hemisphere
Nicaragua	is located in the	northern hemisphere
Panama	is located in the	northern hemisphere
Afghanistan	is located in the	northern hemisphere
Armenia	is located in the	northern hemisphere
Azerbaijan	is located in the	northern hemisphere
Bahrain	is located in the	northern hemisphere
Bangladesh	is located in the	northern hemisphere
Bhutan	is located in the	northern hemisphere
Brunei	is located in the	northern hemisphere
Burma	is located in the	northern hemisphere
Cambodia	is located in the	northern hemisphere
China	is located in the	northern hemisphere
Cyprus	is located in the	northern hemisphere
Georgia (country)	is located in the	northern hemisphere
India	is located in the	northern hemisphere
Iran	is located in the	northern hemisphere
Iraq	is located in the	northern hemisphere
Israel	is located in the	northern hemisphere
Japan	is located in the	northern hemisphere
Jordan	is located in the	northern hemisphere
Kazakhstan	is located in the	northern hemisphere
Kuwait	is located in the	northern hemisphere
Kyrgyzstan	is located in the	northern hemisphere
Laos	is located in the	northern hemisphere
Lebanon	is located in the	northern hemisphere
Malaysia	is located in the	northern hemisphere
Maldives	is located in the	northern hemisphere
Mongolia	is located in the	northern hemisphere
Nepal	is located in the	northern hemisphere
North Korea	is located in the	northern hemisphere
Oman	is located in the	northern hemisphere
Pakistan	is located in the	northern hemisphere
State of Palestine	is located in the	northern hemisphere
Philippines	is located in the	northern hemisphere
Qatar	is located in the	northern hemisphere
Russia	is located in the	northern hemisphere
Saudi Arabia	is located in the	northern hemisphere
Singapore	is located in the	northern hemisphere
Sri Lanka	is located in the	northern hemisphere
South Korea	is located in the	northern hemisphere
Syria	is located in the	northern hemisphere
Taiwan	is located in the	northern hemisphere
Tajikistan	is located in the	northern hemisphere
Thailand	is located in the	northern hemisphere
Turkey	is located in the	northern hemisphere
Turkmenistan	is located in the	northern hemisphere
United Arab Emirates	is located in the	northern hemisphere
Uzbekistan	is located in the	northern hemisphere
Vietnam	is located in the	northern hemisphere
Yemen	is located in the	northern hemisphere
 Algeria	is located in the	southern hemisphere
 Angola	is located in the	southern hemisphere
 Benin	is located in the	southern hemisphere
 Botswana	is located in the	southern hemisphere
 Burkina Faso	is located in the	southern hemisphere
 Burundi	is located in the	southern hemisphere
 Cameroon	is located in the	southern hemisphere
 Cape Verde	is located in the	southern hemisphere
 Central African Republic	is located in the	southern hemisphere
 Chad	is located in the	southern hemisphere
 Comoros	is located in the	southern hemisphere
 Djibouti	is located in the	southern hemisphere
 Egypt	is located in the	southern hemisphere
 equatorial regionial Guinea	is located in the	southern hemisphere
 Eritrea	is located in the	southern hemisphere
 Ethiopia	is located in the	southern hemisphere
 Ghana	is located in the	southern hemisphere
 Guinea	is located in the	southern hemisphere
 Guinea-Bissau	is located in the	southern hemisphere
 Ivory Coast	is located in the	southern hemisphere
 Lesotho	is located in the	southern hemisphere
 Liberia	is located in the	southern hemisphere
 Libya	is located in the	southern hemisphere
 Madagascar	is located in the	southern hemisphere
 Malawi	is located in the	southern hemisphere
 Mali	is located in the	southern hemisphere
 Mauritania	is located in the	southern hemisphere
 Mauritius	is located in the	southern hemisphere
 Morocco	is located in the	southern hemisphere
 Mozambique	is located in the	southern hemisphere
 Namibia	is located in the	southern hemisphere
 Niger	is located in the	southern hemisphere
 Nigeria	is located in the	southern hemisphere
 Rwanda	is located in the	southern hemisphere
 Senegal	is located in the	southern hemisphere
 Seychelles	is located in the	southern hemisphere
 Somalia	is located in the	southern hemisphere
 South Africa	is located in the	southern hemisphere
 Sudan	is located in the	southern hemisphere
 Swaziland	is located in the	southern hemisphere
 The Gambia	is located in the	southern hemisphere
 Togo	is located in the	southern hemisphere
 Tunisia	is located in the	southern hemisphere
 Zambia	is located in the	southern hemisphere
 Zimbabwe	is located in the	southern hemisphere
South Sudan	is located in the	southern hemisphere
 Falkland Islands (UK)	is located in the	southern hemisphere
 French Guiana (France)	is located in the	southern hemisphere
 Guyana	is located in the	southern hemisphere
South Georgia and the South Sandwich Islands (UK)	is located in the	southern hemisphere
 Suriname	is located in the	southern hemisphere
 Venezuela	is located in the	southern hemisphere
