	Type of Animal		Type of Diet (herbivore, omnivore, carnivore)
A(n)	Parrot	is a(n)	herbivore
A(n)	Scarlet Macaw	is a(n)	herbivore
A(n)	Tortoises	is a(n)	herbivore
A(n)	Uromastyx	is a(n)	herbivore
A(n)	Iguanas	is a(n)	herbivore
A(n)	prehensile tail skink	is a(n)	herbivore
A(n)	Sauropod	is a(n)	herbivore
A(n)	Ornithischian	is a(n)	herbivore
A(n)	Butterflies	is a(n)	herbivore
A(n)	Katydids	is a(n)	herbivore
A(n)	Treehoppers	is a(n)	herbivore
A(n)	Leafhoppers	is a(n)	herbivore
A(n)	Ants	is a(n)	herbivore
A(n)	Moths	is a(n)	herbivore
A(n)	snail	is a(n)	herbivore
A(n)	slug	is a(n)	herbivore
A(n)	earthworm	is a(n)	herbivore
A(n)	Wildcat	is a(n)	carnivore
A(n)	Chinese Mountain Cat	is a(n)	carnivore
A(n)	Black-footed Cat	is a(n)	carnivore
A(n)	Sand Cat	is a(n)	carnivore
A(n)	Jungle Cat	is a(n)	carnivore
A(n)	Leopard Cat	is a(n)	carnivore
A(n)	Pallas’ Cat	is a(n)	carnivore
A(n)	Flat-headed Cat	is a(n)	carnivore
A(n)	Rusty-Cat	is a(n)	carnivore
A(n)	Fishing Cat	is a(n)	carnivore
A(n)	Marbled Cat	is a(n)	carnivore
A(n)	Bay Cat	is a(n)	carnivore
A(n)	Asiatic Golden Cat	is a(n)	carnivore
A(n)	Serval	is a(n)	carnivore
A(n)	Caracal	is a(n)	carnivore
A(n)	African Golden Cat	is a(n)	carnivore
A(n)	Geoffroy’s Cat	is a(n)	carnivore
A(n)	Oncilla	is a(n)	carnivore
A(n)	Margay	is a(n)	carnivore
A(n)	Ocelot	is a(n)	carnivore
A(n)	Kodkod	is a(n)	carnivore
A(n)	Pampas Cat	is a(n)	carnivore
A(n)	Andean Cat	is a(n)	carnivore
A(n)	Eurasian Lynx	is a(n)	carnivore
A(n)	Iberian Lynx	is a(n)	carnivore
A(n)	Bobcat	is a(n)	carnivore
A(n)	Canada Lynx	is a(n)	carnivore
A(n)	Jaguarundi	is a(n)	carnivore
A(n)	Cougar	is a(n)	carnivore
A(n)	Cheetah	is a(n)	carnivore
A(n)	Snow Leopard	is a(n)	carnivore
A(n)	Clouded Leopard	is a(n)	carnivore
A(n)	Diardi’s Clouded Leopard	is a(n)	carnivore
A(n)	Tiger	is a(n)	carnivore
A(n)	Lion	is a(n)	carnivore
A(n)	Leopard	is a(n)	carnivore
A(n)	Jaguar	is a(n)	carnivore
A(n)	Aardwolf	is a(n)	carnivore
A(n)	Striped Hyena	is a(n)	carnivore
A(n)	Brown Hyena	is a(n)	carnivore
A(n)	Spotted Hyena	is a(n)	carnivore
A(n)	Small Indian Mongoose	is a(n)	carnivore
A(n)	Small Asian Mongoose	is a(n)	carnivore
A(n)	Short-tailed Mongoose	is a(n)	carnivore
A(n)	Indian Grey Mongoose	is a(n)	carnivore
A(n)	Collared Mongoose	is a(n)	carnivore
A(n)	Brown Mongoose	is a(n)	carnivore
A(n)	Crab-eating Mongoose	is a(n)	carnivore
A(n)	Ruddy Mongoose	is a(n)	carnivore
A(n)	Striped-necked Mongoose	is a(n)	carnivore
A(n)	Cape Grey Mongoose	is a(n)	carnivore
A(n)	Somali Slender Mongoose	is a(n)	carnivore
A(n)	Kaokoveld Slender Mongoose	is a(n)	carnivore
A(n)	Common Slender Mongoose	is a(n)	carnivore
A(n)	Egyptian Mongoose	is a(n)	carnivore
A(n)	Marsh Mongoose	is a(n)	carnivore
A(n)	Long-nosed Mongoose	is a(n)	carnivore
A(n)	White-tailed Mongoose	is a(n)	carnivore
A(n)	Bushy-tailed Mongoose	is a(n)	carnivore
A(n)	Jackson’s Mongoose	is a(n)	carnivore
A(n)	Black-legged Mongoose	is a(n)	carnivore
A(n)	Meerkat	is a(n)	carnivore
A(n)	Yellow Mongoose	is a(n)	carnivore
A(n)	Selous’s Mongoose	is a(n)	carnivore
A(n)	Meller’s Mongoose	is a(n)	carnivore
A(n)	Pousargues’s Mongoose	is a(n)	carnivore
A(n)	Somali Dwarf Mongoose	is a(n)	carnivore
A(n)	Common Dwarf Mongoose	is a(n)	carnivore
A(n)	Gambian Mongoose	is a(n)	carnivore
A(n)	Banded Mongoose	is a(n)	carnivore
A(n)	Liberian Mongoose	is a(n)	carnivore
A(n)	Angolan Mongoose	is a(n)	carnivore
A(n)	Flat-headed Cusimanse	is a(n)	carnivore
A(n)	Common Cusimanse	is a(n)	carnivore
A(n)	Alexander’s Cusimanse	is a(n)	carnivore
A(n)	Falanouc	is a(n)	carnivore
A(n)	Fosa	is a(n)	carnivore
A(n)	Fanaloka	is a(n)	carnivore
A(n)	Broad-striped Vontsira	is a(n)	carnivore
A(n)	Narrow-striped Boky	is a(n)	carnivore
A(n)	Ring-tailed Vontsira	is a(n)	carnivore
A(n)	Brown-tailed Vontsira	is a(n)	carnivore
A(n)	Grandidier’s Vontsira	is a(n)	carnivore
A(n)	Banded Linsang	is a(n)	carnivore
A(n)	Spotted Linsang	is a(n)	carnivore
A(n)	Small-tooted Palm Civet	is a(n)	carnivore
A(n)	Golden Palm Civet	is a(n)	carnivore
A(n)	Brown Palm Civet	is a(n)	carnivore
A(n)	Sulawesi Palm Civet	is a(n)	carnivore
A(n)	Masked Palm Civet	is a(n)	carnivore
A(n)	Common Palm Civet	is a(n)	carnivore
A(n)	Binturong	is a(n)	carnivore
A(n)	Owston’s Civet	is a(n)	carnivore
A(n)	Banded Civet	is a(n)	carnivore
A(n)	Hose’s Civet	is a(n)	carnivore
A(n)	Otter Civet	is a(n)	carnivore
A(n)	Malabar Civet	is a(n)	carnivore
A(n)	Large-spotted Civet	is a(n)	carnivore
A(n)	Malay Civet	is a(n)	carnivore
A(n)	Large Indian Civet	is a(n)	carnivore
A(n)	Small Indian Civet	is a(n)	carnivore
A(n)	African Civet	is a(n)	carnivore
A(n)	Abyssinian Genet	is a(n)	carnivore
A(n)	Hausa Genet	is a(n)	carnivore
A(n)	Crested Genet	is a(n)	carnivore
A(n)	Servaline Genet	is a(n)	carnivore
A(n)	Giant Genet	is a(n)	carnivore
A(n)	Small-spotted Genet	is a(n)	carnivore
A(n)	Miombo Genet	is a(n)	carnivore
A(n)	Johnston’s Genet	is a(n)	carnivore
A(n)	Aquatic Genet	is a(n)	carnivore
A(n)	Rusty-spotted Genet	is a(n)	carnivore
A(n)	Cape Genet	is a(n)	carnivore
A(n)	King Genet	is a(n)	carnivore
A(n)	Pardine Genet	is a(n)	carnivore
A(n)	Bourlon’s Genet	is a(n)	carnivore
A(n)	Leighton’s Oyan	is a(n)	carnivore
A(n)	Central African Oyan	is a(n)	carnivore
A(n)	African Palm Civet	is a(n)	carnivore
A(n)	African Wild Dog	is a(n)	carnivore
A(n)	Ethiopian Wolf	is a(n)	carnivore
A(n)	Dingo	is a(n)	carnivore
A(n)	GreyWolf	is a(n)	carnivore
A(n)	Dhole	is a(n)	carnivore
A(n)	Coyote	is a(n)	carnivore
A(n)	Red Wolf	is a(n)	carnivore
A(n)	Golden Jackal	is a(n)	carnivore
A(n)	Black-backed Jackal	is a(n)	carnivore
A(n)	Side-striped Jackal	is a(n)	carnivore
A(n)	Arctic Fox	is a(n)	carnivore
A(n)	Red Fox	is a(n)	carnivore
A(n)	Kit Fox	is a(n)	carnivore
A(n)	Swift Fox	is a(n)	carnivore
A(n)	Indian Fox	is a(n)	carnivore
A(n)	Corsac Fox	is a(n)	carnivore
A(n)	Blanford’s Fox	is a(n)	carnivore
A(n)	Pale Fox	is a(n)	carnivore
A(n)	Ruppell’s Fox	is a(n)	carnivore
A(n)	Tibetan Fox	is a(n)	carnivore
A(n)	Fennec Fox	is a(n)	carnivore
A(n)	Cape Fox	is a(n)	carnivore
A(n)	Bat-eared Fox	is a(n)	carnivore
A(n)	Island Fox	is a(n)	carnivore
A(n)	Gray Fox	is a(n)	carnivore
A(n)	Raccoon Dog	is a(n)	carnivore
A(n)	Chilla (Argentine Gray Fox)	is a(n)	carnivore
A(n)	Darwin’s Fox	is a(n)	carnivore
A(n)	Sechuran Fox	is a(n)	carnivore
A(n)	Culpeo (Andean Fox)	is a(n)	carnivore
A(n)	Hoary Fox	is a(n)	carnivore
A(n)	Pampas Fox	is a(n)	carnivore
A(n)	Crab-eating Fox	is a(n)	carnivore
A(n)	Short-eared Dog	is a(n)	carnivore
A(n)	Bush Dog	is a(n)	carnivore
A(n)	Maned Wolf	is a(n)	carnivore
A(n)	Giant Panda	is a(n)	carnivore
A(n)	Asiatic Black Bear	is a(n)	carnivore
A(n)	Andean Bear	is a(n)	carnivore
A(n)	Sun Bear	is a(n)	carnivore
A(n)	Sloth Bear	is a(n)	carnivore
A(n)	American Black Bear	is a(n)	carnivore
A(n)	Brown Bear	is a(n)	carnivore
A(n)	Polar Bear	is a(n)	carnivore
A(n)	Pygmy Raccoon	is a(n)	carnivore
A(n)	Northern Raccoon	is a(n)	carnivore
A(n)	Crab-eating Raccoon	is a(n)	carnivore
A(n)	Mountain Coati	is a(n)	carnivore
A(n)	South American Coati	is a(n)	carnivore
A(n)	White-nosed Coati	is a(n)	carnivore
A(n)	Ringtail	is a(n)	carnivore
A(n)	Cacomistle	is a(n)	carnivore
A(n)	Olingos	is a(n)	carnivore
A(n)	Kinkajou	is a(n)	carnivore
A(n)	Red Panda	is a(n)	carnivore
A(n)	Humboldt’s Hog-nosed Skunk	is a(n)	carnivore
A(n)	Molina’s Hog-nosed Skunk	is a(n)	carnivore
A(n)	Striped Hog-nosed Skunk	is a(n)	carnivore
A(n)	Striped Skunk	is a(n)	carnivore
A(n)	American Hog-nosed Skunk	is a(n)	carnivore
A(n)	Hooded Skunk	is a(n)	carnivore
A(n)	Souther Spotted Skunk	is a(n)	carnivore
A(n)	Eastern Spotted Skunk	is a(n)	carnivore
A(n)	Western Spotted Skunk	is a(n)	carnivore
A(n)	Pygmy Spotted Skunk	is a(n)	carnivore
A(n)	Palawan Stink Badger	is a(n)	carnivore
A(n)	Sunda Stink Badger	is a(n)	carnivore
A(n)	North American Otter	is a(n)	carnivore
A(n)	Sea Otter	is a(n)	carnivore
A(n)	Marine Otter	is a(n)	carnivore
A(n)	Southern River Otter	is a(n)	carnivore
A(n)	Neotropical Otter	is a(n)	carnivore
A(n)	Giant Otter	is a(n)	carnivore
A(n)	Eurasian Otter	is a(n)	carnivore
A(n)	Asian Small-clawed Otter	is a(n)	carnivore
A(n)	Hairy-nosed Otter	is a(n)	carnivore
A(n)	Smooth-coated Otter	is a(n)	carnivore
A(n)	Spotted-necked Otter	is a(n)	carnivore
A(n)	Cape Clawless Otter	is a(n)	carnivore
A(n)	Congo-clawless Otter	is a(n)	carnivore
A(n)	Small-toothed Ferret Badger	is a(n)	carnivore
A(n)	Large-tooted Ferret Badger	is a(n)	carnivore
A(n)	Bornean Ferret Badger	is a(n)	carnivore
A(n)	Javan Ferret Badger	is a(n)	carnivore
A(n)	Sumatran Hog Badger	is a(n)	carnivore
A(n)	Northern Hog Badger	is a(n)	carnivore
A(n)	Great Hog Badger	is a(n)	carnivore
A(n)	American Badger	is a(n)	carnivore
A(n)	Eurasian Badger	is a(n)	carnivore
A(n)	Honey Badger	is a(n)	carnivore
A(n)	Wolverine	is a(n)	carnivore
A(n)	Patagonian Weasel	is a(n)	carnivore
A(n)	Lesser Grison	is a(n)	carnivore
A(n)	Greater Grison	is a(n)	carnivore
A(n)	Tayra	is a(n)	carnivore
A(n)	Striped Weasel	is a(n)	carnivore
A(n)	Libyan Weasel	is a(n)	carnivore
A(n)	Zorilla	is a(n)	carnivore
A(n)	Marbled Polecat	is a(n)	carnivore
A(n)	Yellow-throated Martin	is a(n)	carnivore
A(n)	Nilgiri Marten	is a(n)	carnivore
A(n)	Stone Marten	is a(n)	carnivore
A(n)	Pine Marten	is a(n)	carnivore
A(n)	Japanese Marten	is a(n)	carnivore
A(n)	Fisher	is a(n)	carnivore
A(n)	Sable	is a(n)	carnivore
A(n)	American Marten	is a(n)	carnivore
A(n)	Black-footed Ferret	is a(n)	carnivore
A(n)	Siberian Weasel	is a(n)	carnivore
A(n)	Steppe Polecat	is a(n)	carnivore
A(n)	European Mink	is a(n)	carnivore
A(n)	American Mink	is a(n)	carnivore
A(n)	European Polecat	is a(n)	carnivore
A(n)	Least Weasel	is a(n)	carnivore
A(n)	Stoat	is a(n)	carnivore
A(n)	Altai Weasel	is a(n)	carnivore
A(n)	Colombian Weasel	is a(n)	carnivore
A(n)	Long-tailed Weasel	is a(n)	carnivore
A(n)	Amazon Weasel	is a(n)	carnivore
A(n)	Yellow-bellied Weasel	is a(n)	carnivore
A(n)	Stripe-backed Weasel	is a(n)	carnivore
A(n)	Malay Weasel	is a(n)	carnivore
A(n)	Indonesian Mountain Weasel	is a(n)	carnivore
A(n)	Cassowary 	is a(n)	omnivore
A(n)	Chickens	is a(n)	omnivore
A(n)	Emus 	is a(n)	omnivore
A(n)	Hummingbirds	is a(n)	omnivore
A(n)	Keas 	is a(n)	omnivore
A(n)	Orioles	is a(n)	omnivore
A(n)	Ostriches 	is a(n)	omnivore
A(n)	Rheas	is a(n)	omnivore
A(n)	Robins	is a(n)	omnivore
A(n)	Rooks	is a(n)	omnivore
A(n)	Starlings	is a(n)	omnivore
A(n)	Woodpeckers	is a(n)	omnivore
A(n)	Geese	is a(n)	omnivore
A(n)	Flamingos	is a(n)	omnivore
A(n)	Red-throated Loon	is a(n)	omnivore
A(n)	Red-throated Diver	is a(n)	omnivore
A(n)	Swans	is a(n)	omnivore
A(n)	Aardvarks	is a(n)	omnivore
A(n)	Badgers	is a(n)	omnivore
A(n)	Chipmunks	is a(n)	omnivore
A(n)	Coatis	is a(n)	omnivore
A(n)	Hedgehogs	is a(n)	omnivore
A(n)	Mice	is a(n)	omnivore
A(n)	Opossums	is a(n)	omnivore
A(n)	Raccoons	is a(n)	omnivore
A(n)	Rats	is a(n)	omnivore
A(n)	Rhinoceroses	is a(n)	omnivore
A(n)	Skunks	is a(n)	omnivore
A(n)	Sloths	is a(n)	omnivore
A(n)	Aye-aye   	is a(n)	omnivore
A(n)	Dwarf lemurs 	is a(n)	omnivore
A(n)	Mouse lemurs  	is a(n)	omnivore
A(n)	Ring-tailed lemur	is a(n)	omnivore
A(n)	Sportive lemurs	is a(n)	omnivore
A(n)	Woolly lemurs	is a(n)	omnivore
A(n)	Galagos 	is a(n)	omnivore
A(n)	Tarsiers 	is a(n)	omnivore
A(n)	Gibbons or lesser apes	is a(n)	omnivore
A(n)	American spider beetle	is a(n)	omnivore
A(n)	Ants	is a(n)	omnivore
A(n)	Box turtles 	is a(n)	omnivore
A(n)	Catfish	is a(n)	omnivore
A(n)	Cockroaches 	is a(n)	omnivore
A(n)	Crickets	is a(n)	omnivore
A(n)	Flies	is a(n)	omnivore
A(n)	Opaleye (fish)	is a(n)	omnivore
A(n)	Pygmy grasshopper	is a(n)	omnivore
A(n)	Piranhas	is a(n)	omnivore
A(n)	Wasps	is a(n)	omnivore
A(n)	Western yellow jacket	is a(n)	omnivore
A(n)	Banded tree frog	is a(n)	omnivore
A(n)	Blue and gray tanager 	is a(n)	omnivore
A(n)	Charapa turtle	is a(n)	omnivore
A(n)	Poison-dart frog	is a(n)	omnivore
A(n)	Red eyed tree frog 	is a(n)	omnivore
A(n)	Rupicola Peruviana	is a(n)	omnivore
A(n)	Spider monkey 	is a(n)	omnivore
A(n)	Squirrel monkey 	is a(n)	omnivore
A(n)	Tamarin 	is a(n)	omnivore
A(n)	Toucan	is a(n)	omnivore
A(n)	White-faced saki monkey 	is a(n)	omnivore
A(n)	Badger	is a(n)	omnivore
A(n)	Bighorn sheep	is a(n)	omnivore
A(n)	Coatimundi 	is a(n)	omnivore
A(n)	Coyotes	is a(n)	omnivore
A(n)	Desert night lizard	is a(n)	omnivore
A(n)	Desert rats	is a(n)	omnivore
A(n)	Jerboas	is a(n)	omnivore
A(n)	Kit fox	is a(n)	omnivore
A(n)	Rabbit-eared bandicoot	is a(n)	omnivore
A(n)	Raccoons	is a(n)	omnivore
A(n)	Ravens	is a(n)	omnivore
A(n)	Roadrunners	is a(n)	omnivore
A(n)	Blue crabs	is a(n)	omnivore
A(n)	Dolphins	is a(n)	omnivore
A(n)	Flatback sea turtle	is a(n)	omnivore
A(n)	Hawksbill sea turtle	is a(n)	omnivore
A(n)	Leatherback sea turtle	is a(n)	omnivore
A(n)	Manatees	is a(n)	omnivore
A(n)	Olive Ridley sea turtle	is a(n)	omnivore
A(n)	Salt water crabs	is a(n)	omnivore
A(n)	Salt water lobster 	is a(n)	omnivore
A(n)	Sea otter	is a(n)	omnivore
A(n)	Sharks	is a(n)	omnivore
A(n)	Whales	is a(n)	omnivore
A(n)	choughs	is a(n)	omnivore
A(n)	treepies	is a(n)	omnivore
A(n)	magpies	is a(n)	omnivore
A(n)	jays	is a(n)	omnivore
A(n)	papiac	is a(n)	omnivore
A(n)	Stresemann's Bushcrow	is a(n)	omnivore
A(n)	nutcrackers	is a(n)	omnivore
A(n)	crows	is a(n)	omnivore
A(n)	ravens	is a(n)	omnivore
A(n)	jackdaws	is a(n)	omnivore
A(n)	rooks	is a(n)	omnivore
A(n)	Seagulls	is a(n)	omnivore
A(n)	Pacific Gull	is a(n)	omnivore
A(n)	Black-tailed Gull	is a(n)	omnivore
A(n)	Common Gull	is a(n)	omnivore
A(n)	American Herring Gull	is a(n)	omnivore
A(n)	Mediterranean Gull	is a(n)	omnivore
A(n)	Dolphin Gull	is a(n)	omnivore
A(n)	Red-billed Gull	is a(n)	omnivore
A(n)	Saunders's Gull	is a(n)	omnivore
A(n)	Black-legged Kittiwake	is a(n)	omnivore
A(n)	Ivory Gull	is a(n)	omnivore
A(n)	Sabine's Gull	is a(n)	omnivore
A(n)	Swallow-tailed Gull 	is a(n)	omnivore
A(n)	Crane	is a(n)	omnivore
A(n)	Brolga	is a(n)	omnivore
A(n)	Black Crowned Crane	is a(n)	omnivore
A(n)	Grey Crowned Crane	is a(n)	omnivore
A(n)	Common Crane	is a(n)	omnivore
A(n)	Sandhill Crane	is a(n)	omnivore
A(n)	Whooping Crane	is a(n)	omnivore
A(n)	Sarus Crane	is a(n)	omnivore
A(n)	Siberian Crane	is a(n)	omnivore
A(n)	White-naped Crane	is a(n)	omnivore
A(n)	Hooded Crane	is a(n)	omnivore
A(n)	Black-necked Crane	is a(n)	omnivore
A(n)	Red-crowned Crane	is a(n)	omnivore
A(n)	Blue Crane	is a(n)	omnivore
A(n)	Demoiselle Crane	is a(n)	omnivore
A(n)	Wattled Crane	is a(n)	omnivore
A(n)	Rallidae	is a(n)	omnivore
A(n)	coots	is a(n)	omnivore
A(n)	crakes	is a(n)	omnivore
A(n)	gallinules	is a(n)	omnivore
A(n)	American Black Bear	is a(n)	omnivore
A(n)	Asiatic Black Bear	is a(n)	omnivore
A(n)	Brown Bear	is a(n)	omnivore
A(n)	Sloth Bear	is a(n)	omnivore
A(n)	Sun Bear	is a(n)	omnivore
A(n)	grizzly bear	is a(n)	omnivore
A(n)	spectacled bear	is a(n)	omnivore
A(n)	Fox	is a(n)	omnivore
A(n)	Arctic fox	is a(n)	omnivore
A(n)	Bat-eared fox	is a(n)	omnivore
A(n)	Cozumel fox	is a(n)	omnivore
A(n)	Crab-eating fox	is a(n)	omnivore
A(n)	Ethopian fox	is a(n)	omnivore
A(n)	Falkland Islands fox	is a(n)	omnivore
A(n)	Island fox	is a(n)	omnivore
A(n)	Gray fox	is a(n)	omnivore
A(n)	Red fox	is a(n)	omnivore
A(n)	Tibetan sand fox 	is a(n)	omnivore
A(n)	Bearded pigs	is a(n)	omnivore
A(n)	Warty pigs	is a(n)	omnivore
A(n)	Wild boars	is a(n)	omnivore
A(n)	Domestic pigs	is a(n)	omnivore
A(n)	Squirrels	is a(n)	omnivore
A(n)	Oriental giant squirrels	is a(n)	omnivore
A(n)	tree squirrels	is a(n)	omnivore
A(n)	true flying squirrels	is a(n)	omnivore
A(n)	Asian ornate squirrels	is a(n)	omnivore
A(n)	palm squirrels	is a(n)	omnivore
A(n)	neotropical pygmy squirrel	is a(n)	omnivore
A(n)	ground squirrels	is a(n)	omnivore
A(n)	marmots	is a(n)	omnivore
A(n)	chipmunks	is a(n)	omnivore
A(n)	prairie dogs	is a(n)	omnivore
A(n)	spiny squirrels	is a(n)	omnivore
A(n)	Monkeys	is a(n)	omnivore
A(n)	capuchins	is a(n)	omnivore
A(n)	howler monkey	is a(n)	omnivore
A(n)	marmosets	is a(n)	omnivore
A(n)	night or owl monkeys	is a(n)	omnivore
A(n)	sakis	is a(n)	omnivore
A(n)	 spider monkeys	is a(n)	omnivore
A(n)	squirrel monkeys	is a(n)	omnivore
A(n)	tamarins	is a(n)	omnivore
A(n)	titis	is a(n)	omnivore
A(n)	uakaris	is a(n)	omnivore
A(n)	woolly monkeys	is a(n)	omnivore
A(n)	woolly spider monkeys	is a(n)	omnivore
A(n)	Great apes	is a(n)	omnivore
A(n)	bonobos	is a(n)	omnivore
A(n)	chimpanzees	is a(n)	omnivore
A(n)	gorillas	is a(n)	omnivore
A(n)	humans	is a(n)	omnivore
A(n)	orangutans	is a(n)	omnivore
