	Animal		Weight	
A(n)	South American fur seal	weighs, on average,	110	kilograms
A(n)	Topi	weighs, on average,	110	kilograms
A(n)	Spectacled bear	weighs, on average,	109	kilograms
A(n)	Kob	weighs, on average,	105	kilograms
A(n)	Asiatic black bear	weighs, on average,	104	kilograms
A(n)	Pacific white-sided dolphin	weighs, on average,	103	kilograms
A(n)	Bearded pig	weighs, on average,	103	kilograms
A(n)	Marsh deer	weighs, on average,	103	kilograms
A(n)	Caribou and reindeer	weighs, on average,	101	kilograms
A(n)	Wart hog	weighs, on average,	100	kilograms
A(n)	Sloth bear	weighs, on average,	100	kilograms
A(n)	Lechwe	weighs, on average,	95	kilograms
A(n)	Aoudad	weighs, on average,	93	kilograms
A(n)	Addax	weighs, on average,	93	kilograms
A(n)	Mountain goat	weighs, on average,	90	kilograms
A(n)	Nile lechwe	weighs, on average,	90	kilograms
A(n)	Ringed seal	weighs, on average,	90	kilograms
A(n)	Baikal seal	weighs, on average,	90	kilograms
A(n)	Ribbon seal	weighs, on average,	90	kilograms
A(n)	Red river hog	weighs, on average,	88	kilograms
A(n)	Bushpig	weighs, on average,	88	kilograms
A(n)	Sitatunga	weighs, on average,	88	kilograms
A(n)	White-tailed deer	weighs, on average,	87	kilograms
A(n)	Caspian seal	weighs, on average,	86	kilograms
A(n)	Spotted seal	weighs, on average,	85	kilograms
A(n)	Antarctic fur seal	weighs, on average,	85	kilograms
A(n)	Sassaby or blesbok	weighs, on average,	85	kilograms
A(n)	Amazon dolphin	weighs, on average,	84	kilograms
A(n)	Yangzte river dolphin or baiji	weighs, on average,	84	kilograms
A(n)	Lesser kudu	weighs, on average,	83	kilograms
A(n)	Ibex	weighs, on average,	83	kilograms
A(n)	Jaguar	weighs, on average,	81	kilograms
A(n)	Short-beaked saddleback dolphin	weighs, on average,	80	kilograms
A(n)	Javan pig	weighs, on average,	76	kilograms
A(n)	Nilgiri tahr	weighs, on average,	75	kilograms
A(n)	Dall's sheep	weighs, on average,	73	kilograms
A(n)	Dama gazelle	weighs, on average,	73	kilograms
A(n)	Babirusa	weighs, on average,	72	kilograms
A(n)	Bighorn sheep	weighs, on average,	70	kilograms
A(n)	Jentink's duiker	weighs, on average,	70	kilograms
A(n)	Chilean guemal	weighs, on average,	70	kilograms
A(n)	West Caucasian tur	weighs, on average,	70	kilograms
A(n)	Ganges dolphin	weighs, on average,	70	kilograms
A(n)	Fallow deer	weighs, on average,	70	kilograms
A(n)	Grant's gazelle	weighs, on average,	67	kilograms
A(n)	Orangutan	weighs, on average,	64	kilograms
A(n)	Timor deer	weighs, on average,	63	kilograms
A(n)	Cougar	weighs, on average,	63	kilograms
A(n)	Spotted hyena	weighs, on average,	63	kilograms
A(n)	Yellow-backed duiker	weighs, on average,	62	kilograms
A(n)	Bushbuck	weighs, on average,	60	kilograms
A(n)	Aardvark	weighs, on average,	60	kilograms
A(n)	Southern reedbuck	weighs, on average,	58	kilograms
A(n)	Spanish ibex	weighs, on average,	58	kilograms
A(n)	Mule deer	weighs, on average,	57	kilograms
A(n)	Hector's dolphin	weighs, on average,	56	kilograms
A(n)	Red kangaroo	weighs, on average,	55	kilograms
A(n)	Bawean deer	weighs, on average,	55	kilograms
A(n)	Capybara	weighs, on average,	55	kilograms
A(n)	Bharal	weighs, on average,	55	kilograms
A(n)	New Zealand fur seal	weighs, on average,	55	kilograms
A(n)	Leopard	weighs, on average,	54	kilograms
A(n)	Cheetah	weighs, on average,	54	kilograms
A(n)	Harbor porpoise	weighs, on average,	53	kilograms
A(n)	Impala	weighs, on average,	53	kilograms
A(n)	Vicugna	weighs, on average,	50	kilograms
A(n)	Sub-Antarctic fur seal	weighs, on average,	50	kilograms
A(n)	Philippine brown deer	weighs, on average,	50	kilograms
A(n)	Commerson's dolphin	weighs, on average,	50	kilograms
A(n)	Snow leopard	weighs, on average,	50	kilograms
A(n)	East Caucasian tur	weighs, on average,	50	kilograms
A(n)	Antilopine wallaroo	weighs, on average,	50	kilograms
A(n)	Eastern gray kangaroo	weighs, on average,	50	kilograms
A(n)	Soemmering's gazelle	weighs, on average,	49	kilograms
A(n)	Goitered gazelle	weighs, on average,	49	kilograms
A(n)	Rhim gazelle	weighs, on average,	49	kilograms
A(n)	River dolphin	weighs, on average,	47	kilograms
A(n)	Nubian ibex	weighs, on average,	46	kilograms
A(n)	Pronghorn	weighs, on average,	46	kilograms
A(n)	Sun bear	weighs, on average,	46	kilograms
A(n)	Bohar reedbuck	weighs, on average,	46	kilograms
A(n)	Southern fur seal	weighs, on average,	46	kilograms
A(n)	Red brocket	weighs, on average,	46	kilograms
A(n)	Guemals	weighs, on average,	45	kilograms
A(n)	Chimpanzee	weighs, on average,	45	kilograms
A(n)	Gerenuk	weighs, on average,	44	kilograms
A(n)	Brown hyena	weighs, on average,	42	kilograms
A(n)	Sika deer	weighs, on average,	42	kilograms
A(n)	Markhor	weighs, on average,	41	kilograms
A(n)	Calamian deer	weighs, on average,	41	kilograms
A(n)	Franciscana	weighs, on average,	41	kilograms
A(n)	Striped hyena	weighs, on average,	40	kilograms
A(n)	Pygmy chimpanzee or bonono	weighs, on average,	40	kilograms
A(n)	Eastern roe deer	weighs, on average,	39	kilograms
A(n)	Springbok	weighs, on average,	39	kilograms
A(n)	Blackbuck	weighs, on average,	38	kilograms
A(n)	Saiga	weighs, on average,	38	kilograms
A(n)	Chamois	weighs, on average,	38	kilograms
A(n)	Chital	weighs, on average,	36	kilograms
A(n)	Himalayan tahr	weighs, on average,	35	kilograms
A(n)	Chacoan peccary	weighs, on average,	35	kilograms
A(n)	Tufted deer	weighs, on average,	34	kilograms
A(n)	Giant armadillo	weighs, on average,	33	kilograms
A(n)	Finless porpoise	weighs, on average,	33	kilograms
A(n)	Pampas deer	weighs, on average,	33	kilograms
A(n)	Goral	weighs, on average,	32	kilograms
A(n)	Northern hairy-nosed wombat	weighs, on average,	31	kilograms
A(n)	Dibatag	weighs, on average,	31	kilograms
A(n)	Wallaroo	weighs, on average,	30	kilograms
A(n)	Pyranean chamois	weighs, on average,	30	kilograms
A(n)	Mountain reedbuck	weighs, on average,	30	kilograms
A(n)	Mongolian gazelle	weighs, on average,	30	kilograms
A(n)	Giant anteater	weighs, on average,	29	kilograms
A(n)	Western gray kangaroo	weighs, on average,	28	kilograms
A(n)	Chinese goral	weighs, on average,	27	kilograms
A(n)	Gray wolf	weighs, on average,	27	kilograms
A(n)	African wild dog	weighs, on average,	27	kilograms
A(n)	Sea otter	weighs, on average,	26	kilograms
A(n)	Hairy-nosed wombat	weighs, on average,	26	kilograms
A(n)	Coarse-haired wombat	weighs, on average,	26	kilograms
A(n)	Thomson's gazelle	weighs, on average,	25	kilograms
A(n)	Common rhebok	weighs, on average,	25	kilograms
A(n)	European beaver	weighs, on average,	25	kilograms
A(n)	Giant otter	weighs, on average,	24	kilograms
A(n)	Cape porcupine	weighs, on average,	24	kilograms
A(n)	African clawless otter	weighs, on average,	24	kilograms
A(n)	Mountain gazelle	weighs, on average,	23	kilograms
A(n)	Arabian tahr	weighs, on average,	23	kilograms
A(n)	Mandrill	weighs, on average,	23	kilograms
A(n)	Lynx	weighs, on average,	23	kilograms
A(n)	White-lipped peccary	weighs, on average,	22	kilograms
A(n)	Fea's muntjac	weighs, on average,	22	kilograms
A(n)	Western roe deer	weighs, on average,	22	kilograms
A(n)	Maned wolf	weighs, on average,	22	kilograms
A(n)	Indian muntjac	weighs, on average,	21	kilograms
A(n)	American beaver	weighs, on average,	20	kilograms
A(n)	Collared peccary	weighs, on average,	20	kilograms
A(n)	Indian crested porcupine	weighs, on average,	20	kilograms
A(n)	African porcupine	weighs, on average,	20	kilograms
A(n)	Speke's gazelle	weighs, on average,	20	kilograms
A(n)	Clouded leopard	weighs, on average,	20	kilograms
A(n)	Four-horned antelope	weighs, on average,	19	kilograms
A(n)	Indian gazelle	weighs, on average,	19	kilograms
A(n)	Bush duiker	weighs, on average,	19	kilograms
A(n)	Drill	weighs, on average,	18	kilograms
A(n)	Black duiker	weighs, on average,	18	kilograms
A(n)	Reeves's muntjac	weighs, on average,	18	kilograms
A(n)	Hamadryas baboon	weighs, on average,	18	kilograms
A(n)	Black wallaroo	weighs, on average,	18	kilograms
A(n)	Zebra duiker	weighs, on average,	18	kilograms
A(n)	Cuvier's gazelle	weighs, on average,	18	kilograms
A(n)	Oribi	weighs, on average,	17	kilograms
A(n)	Gray brocket	weighs, on average,	17	kilograms
A(n)	Whiptail wallaby	weighs, on average,	17	kilograms
A(n)	Wolverine	weighs, on average,	16	kilograms
A(n)	Gelada baboon	weighs, on average,	16	kilograms
A(n)	Red-necked wallaby	weighs, on average,	16	kilograms
A(n)	Agile wallaby	weighs, on average,	16	kilograms
A(n)	Caracal	weighs, on average,	16	kilograms
A(n)	Dhole	weighs, on average,	16	kilograms
A(n)	Red-fronted gazelle	weighs, on average,	15	kilograms
A(n)	Swamp wallaby	weighs, on average,	15	kilograms
A(n)	Proboscis monkey	weighs, on average,	15	kilograms
A(n)	Dorcas gazelle	weighs, on average,	15	kilograms
A(n)	Black-fronted duiker	weighs, on average,	14	kilograms
A(n)	African civet	weighs, on average,	14	kilograms
A(n)	Hanuman langur	weighs, on average,	14	kilograms
A(n)	Asiatic golden cat	weighs, on average,	14	kilograms
A(n)	Serval	weighs, on average,	13	kilograms
A(n)	Coyote	weighs, on average,	13	kilograms
A(n)	Indian pangolin	weighs, on average,	13	kilograms
A(n)	Steenbok	weighs, on average,	13	kilograms
A(n)	Old World badger	weighs, on average,	13	kilograms
A(n)	Red-flanked duiker	weighs, on average,	13	kilograms
A(n)	Patagonian cavy	weighs, on average,	13	kilograms
A(n)	Pacarana	weighs, on average,	12	kilograms
A(n)	Binturong	weighs, on average,	12	kilograms
A(n)	Chinese forest musk deer	weighs, on average,	12	kilograms
A(n)	Klipspringer	weighs, on average,	12	kilograms
A(n)	Tonkean macaque	weighs, on average,	12	kilograms
A(n)	Bay duiker	weighs, on average,	12	kilograms
A(n)	Chinese water deer	weighs, on average,	12	kilograms
A(n)	Capped leaf monkey	weighs, on average,	11	kilograms
A(n)	Grizzled tree kangaroo	weighs, on average,	11	kilograms
A(n)	Black-striped scrub wallaby	weighs, on average,	11	kilograms
A(n)	Woolly spider monkey or muriqui	weighs, on average,	11	kilograms
A(n)	Spanish lynx	weighs, on average,	11	kilograms
A(n)	Alpine musk deer	weighs, on average,	11	kilograms
A(n)	Water chevrotain	weighs, on average,	11	kilograms
A(n)	Golden jackal	weighs, on average,	11	kilograms
A(n)	Barbary macaque	weighs, on average,	11	kilograms
A(n)	African golden cat	weighs, on average,	11	kilograms
A(n)	Fishing cat	weighs, on average,	11	kilograms
A(n)	Hog badger	weighs, on average,	11	kilograms
A(n)	Tibetan macaque	weighs, on average,	10	kilograms
A(n)	Black-backed jackal	weighs, on average,	10	kilograms
A(n)	Side-striped jackal	weighs, on average,	10	kilograms
A(n)	Cape grysbok	weighs, on average,	10	kilograms
A(n)	Canada lynx	weighs, on average,	10	kilograms
A(n)	Oriental civet	weighs, on average,	10	kilograms
A(n)	Jungle cat	weighs, on average,	10	kilograms
A(n)	Honey badger	weighs, on average,	10	kilograms
A(n)	Southern pudu	weighs, on average,	10	kilograms
A(n)	Siberian musk deer	weighs, on average,	10	kilograms
A(n)	Natal duiker	weighs, on average,	10	kilograms
A(n)	Guereza	weighs, on average,	10	kilograms
A(n)	Douc langur	weighs, on average,	10	kilograms
A(n)	Doria's tree kangaroo	weighs, on average,	10	kilograms
A(n)	King colobus	weighs, on average,	10	kilograms
A(n)	Fossa	weighs, on average,	10	kilograms
A(n)	Small-eared dog	weighs, on average,	10	kilograms
A(n)	Red-capped mangabey	weighs, on average,	9	kilograms
A(n)	Tana River mangabey	weighs, on average,	9	kilograms
A(n)	Gray-cheeked mangabey	weighs, on average,	9	kilograms
A(n)	Bennett's tree kangaroo	weighs, on average,	9	kilograms
A(n)	Koala	weighs, on average,	9	kilograms
A(n)	Stump-tailed macaque	weighs, on average,	9	kilograms
A(n)	Assam macaque	weighs, on average,	9	kilograms
A(n)	Mountain paca	weighs, on average,	9	kilograms
A(n)	Northern river otter	weighs, on average,	9	kilograms
A(n)	Blue monkey	weighs, on average,	9	kilograms
A(n)	Paca	weighs, on average,	9	kilograms
A(n)	Smooth-coated otter	weighs, on average,	9	kilograms
A(n)	Japanese macaque	weighs, on average,	9	kilograms
A(n)	Ocelot	weighs, on average,	9	kilograms
A(n)	Angolan colobus	weighs, on average,	9	kilograms
A(n)	Bobcat	weighs, on average,	9	kilograms
A(n)	North American porcupine	weighs, on average,	9	kilograms
A(n)	Rhesus monkey	weighs, on average,	8	kilograms
A(n)	Golden leaf monkey	weighs, on average,	8	kilograms
A(n)	Pygmy hog	weighs, on average,	8	kilograms
A(n)	Black tree kangaroo	weighs, on average,	8	kilograms
A(n)	American badger	weighs, on average,	8	kilograms
A(n)	Old World porcupine	weighs, on average,	8	kilograms
A(n)	Celebes crested macaque	weighs, on average,	8	kilograms
A(n)	Pigtail macaque	weighs, on average,	8	kilograms
A(n)	Black spider monkey	weighs, on average,	8	kilograms
A(n)	Liontail macaque	weighs, on average,	8	kilograms
A(n)	Nutria	weighs, on average,	8	kilograms
A(n)	Patas monkey	weighs, on average,	8	kilograms
A(n)	White-bellied spider monkey	weighs, on average,	8	kilograms
A(n)	Neotropical river otter	weighs, on average,	8	kilograms
A(n)	Long-nosed echidna	weighs, on average,	8	kilograms
A(n)	Goodfellow's tree kangaroo	weighs, on average,	7	kilograms
A(n)	Tangalunga	weighs, on average,	7	kilograms
A(n)	Francois' langur	weighs, on average,	7	kilograms
A(n)	Bobak marmot	weighs, on average,	7	kilograms
A(n)	Central American spider monkey	weighs, on average,	7	kilograms
A(n)	Matschie's tree kangaroo	weighs, on average,	7	kilograms
A(n)	Purple-faced leaf monkey	weighs, on average,	7	kilograms
A(n)	Dusky leaf monkey	weighs, on average,	7	kilograms
A(n)	Mantled howler monkey	weighs, on average,	7	kilograms
A(n)	Bear cuscus	weighs, on average,	7	kilograms
A(n)	Maxwell's duiker	weighs, on average,	7	kilograms
A(n)	Mexican black howler monkey	weighs, on average,	7	kilograms
A(n)	White-handed gibbon	weighs, on average,	7	kilograms
A(n)	Bonnet macaque	weighs, on average,	7	kilograms
A(n)	Flat-headed cat	weighs, on average,	7	kilograms
A(n)	Eurasian river otter	weighs, on average,	7	kilograms
A(n)	Grizzled leaf monkey	weighs, on average,	7	kilograms
A(n)	North Sumatran leaf monkey	weighs, on average,	7	kilograms
A(n)	Bolivian red howler monkey	weighs, on average,	7	kilograms
A(n)	Cane rat	weighs, on average,	7	kilograms
A(n)	Red howler monkey	weighs, on average,	7	kilograms
A(n)	Mitred leaf monkey	weighs, on average,	7	kilograms
A(n)	Raccoon dog	weighs, on average,	7	kilograms
A(n)	Crab-eating fox	weighs, on average,	7	kilograms
A(n)	Tammar wallaby	weighs, on average,	7	kilograms
A(n)	Suni	weighs, on average,	7	kilograms
A(n)	Tasmanian devil	weighs, on average,	7	kilograms
A(n)	Greater mouse-deer	weighs, on average,	7	kilograms
A(n)	Long-tailed macaque	weighs, on average,	6	kilograms
A(n)	Hoary marmot	weighs, on average,	6	kilograms
A(n)	Crab-eating raccoon	weighs, on average,	6	kilograms
A(n)	Hoffmann's two-toed sloth	weighs, on average,	6	kilograms
A(n)	Blue duiker	weighs, on average,	6	kilograms
A(n)	Linne's two-toed sloth	weighs, on average,	6	kilograms
A(n)	Silvery gibbon	weighs, on average,	6	kilograms
A(n)	Bush dog	weighs, on average,	6	kilograms
A(n)	Ringtailed rock wallaby	weighs, on average,	6	kilograms
A(n)	White-whiskered spider monkey	weighs, on average,	6	kilograms
A(n)	Chamek spider monkey	weighs, on average,	6	kilograms
A(n)	Plains viscacha	weighs, on average,	6	kilograms
A(n)	Common raccoon	weighs, on average,	6	kilograms
A(n)	Brush-tailed rock wallaby	weighs, on average,	6	kilograms
A(n)	De Brazza's monkey	weighs, on average,	6	kilograms
A(n)	Agile gibbon	weighs, on average,	6	kilograms
A(n)	Kloss's gibbon	weighs, on average,	6	kilograms
A(n)	Northern nail-tailed wallaby	weighs, on average,	6	kilograms
A(n)	Borneo gibbon	weighs, on average,	6	kilograms
A(n)	Pileated gibbon	weighs, on average,	6	kilograms
A(n)	Diademed sifaka	weighs, on average,	6	kilograms
A(n)	Australian tiger cat	weighs, on average,	6	kilograms
A(n)	Ridled nail-tailed wallaby	weighs, on average,	6	kilograms
A(n)	Common long-nosed armadillo	weighs, on average,	6	kilograms
A(n)	Wild cat	weighs, on average,	6	kilograms
A(n)	White-nosed guenon	weighs, on average,	5	kilograms
A(n)	Black howler monkey	weighs, on average,	5	kilograms
A(n)	Sun-tailed monkey	weighs, on average,	5	kilograms
A(n)	Preuss's monkey	weighs, on average,	5	kilograms
A(n)	Tasmanian red-bellied pademelon	weighs, on average,	5	kilograms
A(n)	Kirk's dik-dik	weighs, on average,	5	kilograms
A(n)	Brown dorcopsis	weighs, on average,	5	kilograms
A(n)	Leopard cat	weighs, on average,	5	kilograms
A(n)	Verreaux's sifaka	weighs, on average,	5	kilograms
A(n)	Six-banded armadillo	weighs, on average,	5	kilograms
A(n)	Gray fox	weighs, on average,	5	kilograms
A(n)	Coatimundi	weighs, on average,	5	kilograms
A(n)	Vancouver marmot	weighs, on average,	5	kilograms
A(n)	Allen's swamp monkey	weighs, on average,	5	kilograms
A(n)	L'hoest's monkey	weighs, on average,	5	kilograms
A(n)	Cuban hutia	weighs, on average,	5	kilograms
A(n)	Diana monkey	weighs, on average,	5	kilograms
A(n)	Gunther's dik-dik	weighs, on average,	5	kilograms
A(n)	Tayra	weighs, on average,	5	kilograms
A(n)	Mona monkey	weighs, on average,	5	kilograms
A(n)	Northern tamandua	weighs, on average,	5	kilograms
A(n)	Southern tamandua	weighs, on average,	5	kilograms
A(n)	Owl-faced monkey	weighs, on average,	4	kilograms
A(n)	Toque macaque	weighs, on average,	4	kilograms
A(n)	Lesser panda	weighs, on average,	4	kilograms
A(n)	Masked palm civet	weighs, on average,	4	kilograms
A(n)	Allied rock wallaby	weighs, on average,	4	kilograms
A(n)	Parma wallaby	weighs, on average,	4	kilograms
A(n)	Three-toed tree sloth	weighs, on average,	4	kilograms
A(n)	Black-footed rock wallaby	weighs, on average,	4	kilograms
A(n)	Black-tailed jack rabbit	weighs, on average,	4	kilograms
A(n)	European hare	weighs, on average,	4	kilograms
A(n)	Mountain hare	weighs, on average,	4	kilograms
A(n)	Bat-eared fox	weighs, on average,	4	kilograms
A(n)	Red fox	weighs, on average,	4	kilograms
A(n)	Red-legged pademelon	weighs, on average,	4	kilograms
A(n)	Otter civet	weighs, on average,	4	kilograms
A(n)	Woodchuck	weighs, on average,	4	kilograms
A(n)	Cape fox	weighs, on average,	4	kilograms
A(n)	Booted macaque	weighs, on average,	4	kilograms
A(n)	Prehensile-tailed porcupine	weighs, on average,	4	kilograms
A(n)	Maned sloth	weighs, on average,	4	kilograms
A(n)	Lesser mouse-deer	weighs, on average,	4	kilograms
A(n)	Red-necked pademelon	weighs, on average,	4	kilograms
A(n)	White-nosed coati	weighs, on average,	4	kilograms
A(n)	Black-cheeked white-nosed monkey	weighs, on average,	4	kilograms
A(n)	Western rock wallaby	weighs, on average,	4	kilograms
A(n)	Ruffed lemur	weighs, on average,	4	kilograms
A(n)	Margay	weighs, on average,	4	kilograms
A(n)	Lesser white-nosed monkey	weighs, on average,	4	kilograms
A(n)	Campbell's monkey	weighs, on average,	4	kilograms
A(n)	Rock hyrax	weighs, on average,	4	kilograms
A(n)	Moustached monkey	weighs, on average,	4	kilograms
A(n)	Crowned guenon	weighs, on average,	4	kilograms
A(n)	Gray dorcopsis	weighs, on average,	4	kilograms
A(n)	Golden-crowned sifaka	weighs, on average,	4	kilograms
A(n)	Alpine marmot	weighs, on average,	4	kilograms
A(n)	Spotted cuscus	weighs, on average,	4	kilograms
A(n)	Striped skunk	weighs, on average,	4	kilograms
A(n)	Yellow-bellied marmot	weighs, on average,	4	kilograms
A(n)	Marbled cat	weighs, on average,	4	kilograms
A(n)	White-tailed mongoose	weighs, on average,	4	kilograms
A(n)	Springhare	weighs, on average,	4	kilograms
A(n)	Quokka	weighs, on average,	4	kilograms
A(n)	Sooty agouti	weighs, on average,	4	kilograms
A(n)	Southern naked-tailed armadillo	weighs, on average,	4	kilograms
A(n)	Molina's hog-nosed skunk	weighs, on average,	3	kilograms
A(n)	Marsh mongoose	weighs, on average,	3	kilograms
A(n)	Agouti	weighs, on average,	3	kilograms
A(n)	Red-bellied monkey	weighs, on average,	3	kilograms
A(n)	Rufous 'rat'-kangaroo	weighs, on average,	3	kilograms
A(n)	Owston's palm civet	weighs, on average,	3	kilograms
A(n)	Fisher	weighs, on average,	3	kilograms
A(n)	Red uakari	weighs, on average,	3	kilograms
A(n)	Mountain brush-tailed possum	weighs, on average,	3	kilograms
A(n)	Brown lemur	weighs, on average,	3	kilograms
A(n)	Common palm civet	weighs, on average,	3	kilograms
