	EARTH SCIENCES TERM		SUBTYPE OF TERM		CONDITION FOR EVENT A condition under which column H occurs 		EXAMPLE EVENT An example of column D
One type of 	weather	is 	cloudy	; for example, when	there are a lot of clouds in the sky	,	we say the weather is cloudy
One type of 	weather	is 	rainy	; for example, when	rain is falling	,	we say the weather is rainy
One type of 	weather	is 	cold	; for example, when	the outdoor air temperature is low	,	we say the weather is cold 
One type of 	weather	is 	hot	; for example, when	the outdoor air temperature is hot	,	we say the weather is hot
One type of 	weather	is 	foggy	; for example, when	a cloud is at ground level	,	we say the weather is foggy
One type of 	weather	is 	sunny	; for example, when	the sun is not hidden by clouds	,	we say the weather is sunny
One type of 	weather	is 	snowy	; for example, when	snow is falling	,	we say the weather is snowy
One type of 	weather	is 	clear	; for example, when	there is little cloud cover	,	we say the weather is clear
One type of 	groundwater source	is 	wetlands	; for example, when	groundwater is discharged from a wetland area	,	the wetlands are a groundwater source
One type of 	groundwater source	is 	a spring	; for example, when	groundwater is discharged from a spring	,	the spring is a groundwater source
One type of 	groundwater source	is 	a seep	; for example, when	groundwater is discharged at the earth's surface in a small quantity	,	the seep is a groundwater source
One type of 	groundwater source	is 	an oasis	; for example, when	groundwater is discharged in a desert	,	the oasis is a groundwater source
One type of 	cloud	is 	cumulus	; for example, when	air warmed by the earth's surface rises	,	cumulus clouds are formed
One type of 	cloud	is 	stratus	; for example, when	air currents lift a thin layer of air high enough to initiate condensation	,	stratus clouds are formed
One type of 	cloud	is 	cirrus	; for example, when	water vapor undergoes deposition high in the atmosphere	,	cirrus clouds are formed
One type of 	cloud	is 	stratus	; for example, when	a layer of air cools below its dewpoint and the water vapor condenses	,	stratus clouds are formed
One type of 	weather event	is	a dust storm	; for example, when	strong winds move across arid land	,	dust is picked up
One type of 	weather event	is	fog	; for example, when	a stratus cloud forms on the ground	,	it is foggy
One type of 	weather event	is	freezing rain	; for example, when	a thin layer of freezing air is just above the ground	,	rain freezes on the objects it falls upon
One type of 	weather event	is	hail	; for example, when	an updraft carries a water droplet up into freezing air	,	a hailstone forms
One type of 	weather event	is	a hurricane	; for example, when	a low pressure system forms in the tropics	,	a hurricane occurs
One type of 	weather event	is	lightning	; for example, when	there is a discharge of electricity in the atmosphere	,	a lightning flash occurs
One type of 	weather event	is	rain	; for example, when	there is liquid precipitation	,	it is raining
One type of 	weather event	is	sleet	; for example, when	there are frozen transparent raindrops	,	it is sleeting
One type of 	weather event	is	snow	; for example, when	there is crystalline ice precipitation	,	it is snowing
One type of 	weather event	is	a thunderstorm	; for example, when	cumulonimbus clouds produce thunder and lightning	,	a thunderstorm occurs
One type of 	weather event	is	thunder	; for example, when	lightning produces noise	,	it is thundering
One type of 	weather event	is	wind	; for example, when	there is an imbalance in heating in the atmosphere	,	air moves
