LHS	Relation	RHS
the leaves move  toward the sun	effect	the leaves collect light
pelicans swoop  into the water	effect	pelicans collect many fish in their large beaks
the earth takes one year	effect	the earth revolve  completely around the sun
water trapped inside the cracks of rocks cause the rocks	effect	water trapped inside the cracks of rocks break apart
water trapped inside the cracks of rocks freeze	effect	water trapped inside the cracks of rocks break apart
water	purpose	move materials throughout the body
water	purpose	move materials up from the roots
fossil fuels like oil like natural gas	purpose	power factories
fossil fuels like oil like natural gas	purpose	heat our homes
a force	purpose	change the direction & ( an object moving the direction )
pulleys	purpose	lift objects
a pulley	purpose	raise the flag up the flagpole & each day at your school
a rain gauge	purpose	measure rainfall
a microscope	purpose	view small objects
a pie graph	purpose	show percentages of variables that equal 100
a barometer	purpose	measure air pressure
a balance	purpose	determine the mass of an object
a thermometer	purpose	measure air temperature
a metric ruler	purpose	measure the length of a stick
a thermometer	purpose	measure heat energy
a ruler	purpose	measure the length of a piece of wood
the length of time from the beginning of the plant to its[time] death	example	its[length] life span
the length of time from an animal 's birth to its[time] death	example	its[length] life span
the space around the magnet	example	the magnetic field
water in the gaseous phase	example	water vapor
water in the gaseous phase	example	steam
the length of time from an animal 's birth until its[time] death	example	its[length] life span
a push or a pull	example	a force
water  falling from the sky	example	precipitation
the length of time from an animal 's birth until its[time] death	example	its[length] life span
the length of time from an animal 's birth until its[time] death	example	its[length] life span
photosynthesis	hyponym	a process
metamorphosis	hyponym	a changing stage
chloroplasts	hyponym	little green particles & ( little green particles make_up  of chlorophyll )
glucose	hyponym	a form of sugar
the pit	hyponym	one big seed
the esophagus	hyponym	a tube
vessels	hyponym	tubes
taste buds	hyponym	the tongue
metamorphosis	hyponym	a changing stage
dna	hyponym	deoxyribonucleic acid
a circuit	hyponym	a path
photosynthesis	hyponym	a process
photosynthesis	enable	plants make their own food by a process
way of the nerves	enable	tiny spots & ( tiny spots feel things ) & ( tiny spots transmit texture & temperature & other characteristics to the brain by way ) feel things
way of the nerves	enable	tiny spots & ( tiny spots feel things ) & ( tiny spots transmit texture & temperature & other characteristics to the brain by way ) transmit texture & temperature & other characteristics to the brain by way
photosynthesis	enable	plants make their own food by photosynthesis
photosynthesis	enable	green plants do this by photosynthesis
removal heat	enable	freezing changing water from its[change] liquid state to its[state] solid state by removal
addition heat	enable	melting changing water from its solid state to a liquid state by addition
action & ( action growing  constantly ) their roots	enable	plants break down rocks also by action
photosynthesis	enable	plants make their own food by a process
animals not make their own food	effect	they eat
the oxygen enters the blood in the lungs	effect	the oxygen carry the oxygen throughout the body
sound move tiny bones in our ears & ( sound move tiny bones in our ears send a message through the auditory nerve to the brain ) send a message through the auditory nerve to the brain	effect	we understand
they attract other animals	effect	they mate
it take in the proper foods everyday & nutrients	effect	your body have energy
it take in the proper foods everyday & nutrients	effect	your body repair itself[body]
it take in the proper foods everyday & nutrients	effect	your body grow
we make gasoline	effect	we drive cars & trucks
humans developed various means of transportation	effect	they[humans] bring food & energy & other goods rather to them[humans]
living things take in nutrients	effect	they create energy
living things take in nutrients	effect	they grow
( the dolphin swims its[dolphin] flipper ) adapted	effect	it[dolphin] act  as a paddle
the flower	part	the plant
the flower	part	the plant
the leaves	part	the plant
brushing your teeth in the morning	part	having good health
getting (  rest  enough )	part	living a healthy life
plants	hyponym	living things
animals	hyponym	living things
organisms	hyponym	alive
living things	hyponym	alive
a swing set	hyponym	a nonliving thing & ( a nonliving thing man-made  )
water	hyponym	nonliving
air	hyponym	nonliving
plants	hyponym	living organisms
plants	hyponym	the only living organism & ( the only living organism make its own food )
photosynthesis	hyponym	a process & ( plants make their own food a process ) & ( plants give off oxygen & ( they not using oxygen ) & water a process )
oxygen	hyponym	a gas & ( many animals need a gas )
the stem	hyponym	the pathway of water
the stem	hyponym	the pathway for transporting carrying water for nutrients
leaves	hyponym	the food-making factory of the plant
flowers	hyponym	flowers have nice scents for a reason
growth	hyponym	the process & ( plants increase the process in size )
animals	hyponym	living organisms
groups of tissues	hyponym	called organs
the lungs	hyponym	an organ in the body
different organs	hyponym	called organ systems
the diaphragm	hyponym	a muscle & ( a muscle moves up and down  )
chameleons	hyponym	lizards & ( lizards change colors )
body fat	hyponym	a form of stored energy
gills	hyponym	slits in the sides
it[bird]	hyponym	a bird of prey of a seed-eater of a fish-eater
diversity	hyponym	the many different types of animals within the same species
the average life span of a fruit fly	hyponym	72 hours
the average life span of a worker ant	hyponym	6 months
the average life span of a worker bee	hyponym	1 year
the average life span of a rabbit	hyponym	9 years
the average life span of a frog	hyponym	10 years
the average life span of an elephant	hyponym	70 years
the average life span of a human	hyponym	79 years
the average life span of an amazon parrot	hyponym	80 years
the average life span of a turtle	hyponym	100 years
growth	hyponym	the process & ( plants & animals increase the process in size )
a trait	hyponym	the color of your hair of skin of eyes of your height of the shape of your face
genetics	hyponym	the branch of science
the grandparents	hyponym	the third generation
the grandparents	hyponym	the first generation in the family tree chart
the parents	hyponym	the second generation
the children	hyponym	the first generation in the family tree chart
the children	hyponym	the third generation
gregor mendel	hyponym	a scientist & ( a scientist know who as the father of genetics )
dna	hyponym	a bundle & ( a bundle consider  ) of chemicals
smoking cigarettes	hyponym	harmful to your body
tobacco	hyponym	harmful to your body
illegal drugs	hyponym	harmful to your body
it[bike]	hyponym	fun
it[bike]	hyponym	healthy for our bodies
ecology	hyponym	the science & ( the science studies the relationships between organisms and their environments )
an ecosystem	hyponym	a community of all the living and nonliving parts of an environment
the sun	hyponym	the ultimate source of energy for all life and physical cycles on earth
plants	hyponym	food for another animal
animals & ( animals eat plants )	hyponym	food for other animals
producers	hyponym	living things & ( living things change the sun 's energy )
consumers	hyponym	living things & ( living things feed  on others )
decomposers	hyponym	living things & ( living things break down dead organisms ) & ( living things recycle their[consumers] nutrients into the soil )
humans	hyponym	dependent upon the environment for food shelter and energy
matter	hyponym	anything & ( anything has mass ) & ( anything takes up space )
mass	hyponym	the amount present in an object of material
electric energy	hyponym	energy
sound	hyponym	noise
sound	hyponym	energy & ( we hear energy )
light energy	hyponym	energy & ( energy give_off  from a light source such as the sun or a light bulb )
electricity	hyponym	one form of energy
a force	hyponym	a push
friction	hyponym	a force & ( a force provides resistance )
friction	hyponym	the force
another type of force	hyponym	magnetism
magnet	hyponym	an object & ( an object attracts metals )
gravity	hyponym	a force & ( a force acts  on objects on earth )
mechanical energy	hyponym	energy & ( two objects move energy together )
simple machines	hyponym	tools with very few parts
a lever	hyponym	a flat structure & ( a flat structure place  on a fixed point )
an inclined plane	hyponym	a ramp & ( a ramp extends  from one level to another )
a wedge	hyponym	a type & ( a type force  into another object ) of inclined plane
a screw	hyponym	another type & ( another type wrap  around a cylinder ) of inclined plane
stars	hyponym	all celestial objects
moon	hyponym	all celestial objects
planets	hyponym	all celestial objects
comets	hyponym	all celestial objects
the sun	hyponym	all celestial objects
the moon	hyponym	a satellite of the earth
air pressure	hyponym	pressure against the surface of the earth by the atmosphere
temperature	hyponym	a measure
a thermometer	hyponym	the instrument
rain	hyponym	liquid water
sleet	hyponym	falling from the sky
snow	hyponym	falling from the sky
hail	hyponym	dust falling  from the sky
hail	hyponym	solid balls of water
snow	hyponym	common in the winter months
sleet	hyponym	common in the winter months
humidity	hyponym	the amount of moisture in the atmosphere
a meteorologist	hyponym	a scientist & ( who uses the information a scientist from weather instruments )
tornados	hyponym	common in spring in summer
water	hyponym	a substance & ( a substance find  over all in the air )
surface water	hyponym	fresh such_as water such as water found in oceans or seas
weathering	hyponym	a process & ( a process breaks rocks & other surface materials into small pieces )
erosion	hyponym	the process & ( the process soil  ) & ( the process move other earth materials from one place to another )
wind	hyponym	all forces
gravity	hyponym	all forces
water	hyponym	all forces
the sense of taste	hyponym	one sense & ( we not use one sense typically in a science laboratory )
the scientific method	hyponym	a process & ( scientists investigate a problem & situation a process )
the sunflower plants & (  expose the sunflower plants )	hyponym	taller than the plants
safety	hyponym	a very important aspect in the study of science
a bar graph	hyponym	another form of graph
a mountain	hyponym	a nonliving thing & ( a nonliving thing occurs in nature )
the life process & ( animal bones longer the life process ) & ( animal bones bigger the life process )	hyponym	called growth
a house	hyponym	nonliving
a mountain	hyponym	nonliving
a chair	hyponym	nonliving
nonliving thing	hyponym	man-made
water	hyponym	nonliving
light	hyponym	nonliving
the stem	hyponym	the pathway of water of nutrients from the roots to the leaves
the leaves	hyponym	the food-making factory of the plant
the leaves	hyponym	the leaves contain chlorophyll
the flower	hyponym	the flower has a pleasant scent & ( a pleasant scent attracts birds & insects )
the flower	hyponym	colorful
pelicans	hyponym	pelicans swoop  into the water
toddler	hyponym	the major stages in the life cycle of humans
child	hyponym	the major stages in the life cycle of humans
teenager	hyponym	the major stages in the life cycle of humans
the major stages adult	hyponym	the major stages in the life cycle of humans
the major stages elderly	hyponym	the major stages in the life cycle of humans
baby	hyponym	the major stages in the life cycle of humans
reproduction	hyponym	important for the survival of a species
a bear 's fur	hyponym	thickest during winter
smell	hyponym	the four senses & ( the four senses use  )
touch	hyponym	the four senses & ( the four senses use  )
taste	hyponym	the four senses & ( the four senses use  )
sight smell touch and taste	hyponym	the four senses & ( the four senses use  )
color of skin	hyponym	some traits & ( some traits inherit  )
color of eyes	hyponym	some traits & ( some traits inherit  )
height	hyponym	some traits & ( some traits inherit  )
color of hair	hyponym	some traits & ( some traits inherit  )
shape of ears	hyponym	some traits & ( some traits inherit  )
shape of nose	hyponym	some traits & ( some traits inherit  )
shape of face	hyponym	some traits & ( some traits inherit  )
color of flowers of shape of leaves of shape os seeds of color of seeds	hyponym	some traits & ( some traits inherit  )
dna	hyponym	the bundles & ( the bundles control  ) of chemicals in our body
a cigarette	hyponym	a harmful substance
the sun	hyponym	the ultimate source of energy for all life and physical cycles on earth
the cactus	hyponym	a producer
the butterfly	hyponym	a consumer
the snake	hyponym	a predator
a bird	hyponym	a predator
snake	hyponym	a predator
a rabbit	hyponym	a prey
frog	hyponym	a prey
fish	hyponym	a prey
humans	hyponym	dependent upon their[humans] environment for food shelter and energy
sight	hyponym	the five senses
a banana	hyponym	yellow
energy of motion	hyponym	kinetic energy
friction	hyponym	the force & ( the force slows down the motion of a bicycle ) & ( the force stops  )
gravity	hyponym	the force & ( the force brings objects toward the earth )
snow	hyponym	a form of precipitation
a meteorologist	hyponym	a scientist & ( who studies weather a scientist )
liquid water changing to water vapor	hyponym	evaporation
water vapor changing to liquid water	hyponym	condensation
weathering	hyponym	the process & ( the process breaks rocks down into small pieces )
a journal	hyponym	useful to a scientist
rain	hyponym	forms of precipitation
snow	hyponym	forms of precipitation
the earth 's main source of energy	hyponym	the sun
a ramp	hyponym	a simple machine
the process & ( the process results  in an animal producing offspring )	hyponym	reproduction
the force & ( the force pulls objects toward the earth )	hyponym	gravity
magnetism	hyponym	the force
a pulley	hyponym	a simple machine & ( a simple machine moves  a sail up the mast of a ship )
hail	hyponym	a form of precipitation
solid liquid gas	hyponym	the phases of matter
growth	hyponym	a process & ( plants & animals increase a process in size )
growth	hyponym	the life processes of all living things
cigarettes	hyponym	harmful to the human body
drinking alcohol	hyponym	harmful to your body
taking illicit drugs	hyponym	harmful to your body
a balanced diet	hyponym	one of the most important steps toward having good heath
a defense mechanism	example	animals protect themselves in a way
some animals moving  to a warmer climate in the cold months	example	some animals deal another way & ( some animals deal another way with changes in the weather ) with changes in the weather
revolution the moon around the earth	cause	the different phases of the moon
heavy rain	cause	a flood
differences in air pressure	cause	winds
the chemicals from smoking	cause	very serious diseases such_as lung cancer
powerful earthquakes	cause	damage to landscapes to buildings
the gravitational attraction between the object between the earth	cause	it[attraction] fall  back down to earth 's surface
energy from the sun	cause	it[energy] evaporate change from liquid water to water vapor
the plant survive	requirement	nutrients
living things survive	requirement	water
living things live	requirement	water
living things survive	requirement	air
living things live	requirement	air
the plant produce food	requirement	it[sun]
hand prevent disease & infection	requirement	personal cleanliness
regular exercise live a healthy lifestyle	requirement	regular exercise
both plants & animals survive	requirement	water
both plants & animals survive	requirement	air
energy	requirement	nutrients
growth	requirement	nutrients
the plant produce food	requirement	water
freeze water	condition	cold
cells from the male and female parts of the plant combine	condition	cells from the male and female parts of the plant form seeds
we exhale	condition	the lungs send the carbon dioxide
you put your fingertips against the inside of your wrist	condition	you feel the blood pulsing through your vessels
in danger	condition	skunks give off a very foul smell
cold	condition	humans shiver
air brushes	condition	it[skin] cools down our body
we nervous	condition	scared or upset our body responds
we run	condition	we exercising
we exercise our body	condition	we moving the nutrients
a natural disaster such as a flood or fire is	condition	another example of an environmental change be
humans build a new community in the desert	condition	humans bring in plants & ( plants not familiar  to that environment )
the particles in the matter hit each other	condition	we hear energy & ( we hear energy )
matter vibrates	condition	we hear energy & ( we hear energy )
a chemical reaction takes place	condition	energy & ( energy release  ) release
two objects move  together	condition	two objects produce mechanical energy
the earth comes  between the sun between a full moon	condition	a lunar eclipse occurs
the moon viewed  from earth	condition	the moon a reddish-orange color
the moon comes  between the sun and the earth	condition	a solar eclipse occurs
cold	condition	common in the winter months
clouds condenses  on dust particles	condition	clouds form
air moist	condition	most severe thunderstorms occur  in summer
hot	condition	most severe thunderstorms occur  in summer
precipitation falls  to the earth	condition	the ground absorb the water eventually
the water freezes	condition	it[water] breaks the rock
the water freezes	condition	it[water] expands
plants make food	condition	they give off oxygen & water
we call this migration	condition	animals move  to a warmer climate
change the landscape	condition	animals cause harm to the environment
animals displaced	condition	animals cause harm to the environment
two objects slide  over one	condition	another friction occur
you jump up  in the air	condition	you come  back down to the ground due to gravity
you turn  on your television	condition	you transfer electrical energy into sound into light energy
an object travels  slowly over a bumpy surface	condition	due to friction
some animals prepare  for the long winters by storing food and going dormant	condition	some animals call hibernation & it[object]
they form a fruit	condition	the seed surroundings swell up
a muscle & ( a muscle moves up and down  ) moves up and down	condition	we exhale
a muscle & ( a muscle moves up and down  ) moves up and down	condition	a muscle & ( a muscle moves up and down  ) helps the lungs take in and let out air
a muscle & ( a muscle moves up and down  ) moves up and down	condition	we inhale
they grow  over time	condition	called development
you clean it	condition	you get a cut
the animals have difficulty & ( difficulty not adapt  to the new environment )	condition	they find new homes
they die	condition	unsuccessful in their new location
they[humans] change the landscape of the nonliving environment	condition	humans construct new homes & buildings
you gave a push it[box]	condition	it[box] move  easily across the floor
its[earth] position changes & the amount of sunlight changes  also	condition	the earth revolves  around the sun
rain occur anytime during the year	condition	the outside temperature is  as long above the freezing point of water
water falling  from the sky	condition	water define precipitation often
rusting	example	a chemical property
the wheel on a wheelbarrow	example	this type of machine
a door knob	example	this type of machine
ropes	example	nonliving things
drink	example	nonliving things
air	example	nonliving things
tire swing	example	nonliving things
plants	example	living things
children	example	living things
a horse eating hay	example	an animal for food using plants
a cow eating grass	example	an animal for food using plants
birds building a nest on tree branches and squirrels living inside a tree trunk	example	animals using plants for shelter
an iron nail	example	objects & ( magnet attract objects )
a pin	example	objects & ( magnet attract objects )
a staple	example	objects & ( magnet attract objects )
a mouse	example	prey
a mouse	example	a predator
a hawk	example	prey
a hawk	example	a predator
skin	example	tissues
muscles	example	tissues
electric	example	different forms of energy
sound	example	different forms of energy
chemical	example	different forms of energy
mechanical	example	different forms of energy
light	example	different forms of energy
heat	example	different forms of energy
a wheelchair ramp into your school	example	an inclined plane
eating candy for dinner	example	a poor health habit
rusting	example	a chemical property
a bike rolling  down a hill	example	kinetic energy
a plane flying	example	kinetic energy
a snowball melting in your hand	example	heat energy
drying clothes in a clothes dryer	example	electrical energy changing  to heat energy
a battery	example	chemical energy changing  to electrical energy
a blender	example	electrical energy changing  to mechanical energy
a car engine	example	chemical energy changing  to mechanical energy
a ball rolling  down a hill	example	kinetic energy
the seesaw in a playground	example	a lever
eating candy for dinner	example	a poor health habit
banging a	example	mechanical energy
mechanical energy playing a guitar	example	mechanical energy changing
using your eyes	example	using your senses
mechanical energy pounding a fist on a table	example	mechanical energy changing
that beginning life into an adult reproduction as an adult and eventually death	example	life cycles & ( life cycles include ( that beginning life into an adult reproduction as an adult and eventually death ) )
hibernating	example	these behaviors
these behaviors hunting	example	these behaviors
migrating	example	these behaviors
communicating	example	these behaviors
nest building	example	these behaviors
hardness	example	physical properties
odor	example	physical properties
sound	example	physical properties
taste	example	physical properties
texture	example	physical properties
size	example	physical properties
color	example	physical properties
humidity and cloud cover	example	other conditions
ways & ( that animals respond ways to changes in their environment such as seasonal changes ) hibernation	example	ways & ( that animals respond ways to changes in their environment such as seasonal changes )
ways & ( that animals respond ways to changes in their environment such as seasonal changes ) migration	example	ways & ( that animals respond ways to changes in their environment such as seasonal changes )
growing thick fur	example	ways & ( that animals respond ways to changes in their environment such as seasonal changes )
shivering	example	ways & ( that animals respond ways to changes in their environment such as seasonal changes )
good health habits	example	healthy
snow	example	precipitation
sleet	example	precipitation
hail	example	precipitation
rain	example	precipitation
oranges	example	plants
celery	example	plants
broccoli	example	plants
carrots	example	plants
apples	example	plants
potatoes	example	plants
lettuce	example	plants
oranges	example	plant products
celery	example	plant products
broccoli	example	plant products
carrots	example	plant products
apples	example	plant products
potatoes	example	plant products
lettuce	example	plant products
examples of chemical properties souring milk	example	chemical properties
stores	cause	ecosystem failure
factories	cause	ecosystem failure
growing food crops	cause	ecosystem failure
pollution	cause	ecosystem failure
building homes	cause	ecosystem failure
fish need	cause	they developed gills
fish live  in the water	cause	they developed gills
they[humans] be  from the same species	cause	many organisms look (  similar  very ) to other organisms
the floor on the box  of the force of friction	cause	the box stop  eventually
it[sky] reflects light from the sun	cause	we see the moon in the sky
it[plant] contains the pollen & eggs	cause	the plant reproduce
water animals are young & ( young survive  ) (  few  very )	cause	water animals produce very large numbers of eggs
we reflect the sun 's light	cause	we see the moon in the sky
a strong muscle & ( a strong muscle pumps & ( the blood called the heart pumps )  continuously )	cause	circulate the blood over the body because_of a strong muscle
movement the planets around the sun & the earth	cause	we see different planets throughout the year because_of motion because_of movement
motion the earth	cause	we see different planets throughout the year because_of motion because_of movement
the earth 's position around the sun during its[result] revolution	cause	spring
the earth 's position around the sun during its[result] revolution	cause	summer
the earth 's position around the sun during its[result] revolution	cause	fall
the earth 's position around the sun during its[result] revolution	cause	the earth experiences because_of the tilt because_of the earth 's position
the reflected light from the sun	cause	we see different portions of the moon because_of movement at different times during the 29  1/2 days because_of the reflected light
many forest animals cutting too many trees down	cause	many forest animals having homes no longer
food	purpose	growth new young plants
food	purpose	germination
the mouth	purpose	respiration
the mouth	purpose	digestion
a turtle 's shell	purpose	the main function of a turtle 's shell protect the turtle
the roots	purpose	the two functions of the roots absorb
the roots	purpose	anchor
the flower	purpose	reproduction
the part & ( the part responsible  for reproduction ) of a plant	purpose	reproduction
the respiratory system	purpose	breathing
the locomotion system	purpose	movement
these storms/conditions	effect	a harmful effect on the areas
many animals need a gas & ( many animals need a gas )	effect	many animals survive
animals require air & water & food	effect	animals survive
animals require air & water & food	effect	animals live
all animals take in oxygen	effect	all animals survive
farmers plant harvest grain & wheat & corn & fruits & vegetables	effect	enough food
a force pull	effect	a force work
an object move	effect	a force work
scientists record their[scientists] observations often in a journal in notebook	effect	scientists keep accurate records for future review
the leaves collect light	effect	the plant perform photosynthesis
plants give off oxygen	effect	animals breathe in
plants producing flowers & fruits & ( fruits have seeds )	effect	plants reproduce
animals exhaling carbon dioxide through their mouth through nose	effect	animals rid  of their gaseous waste
some animals sending special sounds out	effect	some animals protect themselves[predators]
humans raising animals	effect	humans changed the environment also
humans cultivating crops	effect	humans changed the environment also
humans developing communities in areas	effect	humans changed their[humans] environment
you turning the screw	effect	you insert it[screw] into another object
plants forming seeds from the male pollen and female eggs cells found in the flower	effect	plants reproduce
some animals going  into hibernation	effect	some animals prepare  the long winter
planting trees	effect	save their[humans] environment
creating new forms of energy	effect	save their[humans] environment
conserving energy	effect	save their[humans] environment
recycling	effect	save their[humans] environment
fur	effect	lobsters & crabs protect them[others] from predators
lobsters & crabs protect themselves with their claws	effect	lobsters & crabs protect them[others] from predators
we use tools & machines	effect	us work
legs	effect	them move
dogs have legs	effect	them move
wings	effect	them move
birds have wings	effect	them move
fish have fins	effect	them move
the rock move	effect	you change the potential energy to kinetic energy
the body systems work  like a machine	effect	the animal create energy
the body systems work  like a machine	effect	the animal grow
wings & ( wings long  ) & ( wings angled  ) angled	effect	them fly
wings & ( wings long  ) & ( wings angled  ) long	effect	them fly
weather	example	the conditions in the sky
climate	example	the weather conditions in an area
