	CREATURE Type of organism	PART OR CAPABILITY? has = part can = capability is = attribute	ADAPTATION Distinctive observable trait or behavior of creature		CHALLENGE Distinctive observable challenge presented by the creature's environment		EXPLANATION How the creature's trait or behavior helps it cope with the environmental challenge
A	ladybug	has	bright spots	, which helps it to cope with	dangerous predators	by	signalling that it is poisonous
A	lion	has	long claws	, which helps it to cope with	prey	by	holding prey in place
A	lizard	has	a tail that can break off	, which helps it to cope with	dangerous predators	by	allowing it to escape by leaving its tail behind
A	lobster	has	claws	, which helps it to cope with	dangerous predators	by	hurting possible predators
A	mealworm	has	legs and claws	, which helps it to cope with	dangerous predators	by	burrowing into the ground to hide from predators
A	owl	has	excellent night vision	, which helps it to cope with	prey that are active at night	by	allowing them to see prey in the dark
A	parrot	has	a strong, curved beak	, which helps it to cope with	nuts and other hard foods	by	allowing them to crack open shells
A	pelican	has	a large beak	, which helps it to cope with	the challenge of gathering food	by	allowing them to scoop up many fish at once
A	porcupine	has	sharp spines	, which helps it to cope with	dangerous predators	by	warning that attacking a porcupine will be very painful for the predator
A	rose	has	thorns	, which helps it to cope with	dangerous predators	by	harming predators that try to eat the rose
A	skunk	has	a toxic spray	, which helps it to cope with	dangerous predators	by	causing pain and temporarily blinding the predator
A	snake	has	a forked tongue	, which helps it to cope with	prey that is difficult to find	by	allowing the snake to smell its prey
A	squirrel	has	an excellent sense of smell	, which helps it to cope with	the challenge of finding food	by	allowing the squirrel to find food by smell
A	squirrel	can	rotate its back legs	, which helps it to cope with	dangerous predators; the challenge of finding food	by	allowing it to climb down a tree head-first
A	sunflower	is	tolerant of cold	, which helps it to cope with	seasonal change in temperature	by	allowing it to survive in all seasons
A	tuna	has	dark blue coloring on its upper side and white coloring on its underside	, which helps it to cope with	dangerous predators	by	allowing it to blend into its ocean habitat
A	watermelon	has	a thick rind	, which helps it to cope with	high temperatures	by	preventing it from drying out
A	worm	has	tiny hairs on its body	, which helps it to cope with	the challenge of moving through soil	by	giving the worm traction in the soil
