LHS	Relation	RHS
plastic	hyponym	harmful to the environment
pressure	hyponym	proportional to the volume of the water to the depth of the water
primary producers	hyponym	organisms
producers	hyponym	organisms
producers	hyponym	organisms capable of making their[producers] own food by photosynthesis e.g. green they[producers] can not make their[producers] own food
pulley	hyponym	a simple machine
pulse rate in human beings	hyponym	a vital sign along_with body temperature along_with blood pressure of indication of a person 's health along_with respiration rate
pumpkin	hyponym	a fruit in botany
reproduction	hyponym	creation object new living things from the existing living things
scavengers	hyponym	a type of decomposer
sheet erosion	hyponym	the result of heavy rain on bare soil
smoke from cigarettes from burning leaves arg even	hyponym	harmful
solar energy	hyponym	the main energy source for the water cycle
sound	hyponym	energy
sound energy	hyponym	energy
sound energy	hyponym	transferred as waves of alternating compression and rarefactions through matter object it[form]
sound energy	hyponym	a form of mechanical energy
sound energy sound	hyponym	a form of mechanical vibration
steam fog	hyponym	sea smoke
stressed object plants	hyponym	susceptible to diseases
sunlight	hyponym	the ultimate source for a plant of energy
sunlight	hyponym	energy
texture touch	hyponym	a sense agent an objects
the act of ice melting	hyponym	a phase change in water
the earth	hyponym	a sphere
the human foot	hyponym	a very complex and intricately designed mechanism
the leaves	hyponym	the organs
the main source of energy for the water cycle	hyponym	the sun
the main source of energy in the water cycle	hyponym	the sun
the main sources of water from sublimation	hyponym	the ice sheets of the ice caps on the mountains of the north pole of the south pole
the sun	hyponym	the only source of energy for producers
the ovary	hyponym	the fruit
the producer	hyponym	the food for another organism
the scales of a fish	hyponym	not the final layer of protection on the body of a fish
the seed	hyponym	a living thing
the sun	hyponym	the main source of energy of life on earth
the sun	hyponym	important to all living things
the sun 's primary fuel source	hyponym	hydrogen
the telephone	hyponym	a convenient device
the upper soils	hyponym	vulnerable to both wind and water erosion
the water cycle	hyponym	a term for the movement of water between the earth 's surface the sky and underground
the wings	hyponym	lightweight
touch	hyponym	a sense
turtles	hyponym	one of easy of the best pets
water	hyponym	important comp the basis to life on earth
water	hyponym	available in the ecosystem
water	hyponym	present in the atmosphere in solid liquid and vapor states
water	hyponym	the most common substance
water vapour	hyponym	invisible as a gas
winter	hyponym	cold
wood frogs	hyponym	ectotherms
measuring liquids	part	baking
measuring liquids	part	cooking
the root	part	the plant
water	part	your body
plants	produce	food for them
a balance scale	purpose	have compare the weight of each half
a curved mirror	purpose	- collect light for a solar collector
a meter stick	purpose	the main purpose of a meter stick measure length of an object
a plants roots	purpose	the purpose of a plants roots extract water from the ground
a simple pulley	purpose	- hoist a flag comp lift
desk rulers	purpose	- aid as a straight guide for cutting and scoring with a blade
earthworms	purpose	millipedes break down dead matter
earthworms	purpose	- loosen the soil
feet	purpose	them swim in the water arg smoothly
feet	purpose	them paddle -
feet	purpose	them swim -
good mental health	purpose	you enjoy life
graduated object cylinders	purpose	- measure the volume by measuring the displacement of a liquid arg indirectly
heat	purpose	- change liquid to a gas
heat of fusion	purpose	- change a substance from a solid to a liquid
heat of vaporization	purpose	- change a substance from a liquid to a gas
hormones	purpose	- regulate organisms
light	purpose	plants absorb minerals into their bodies through photosynthesis
light	purpose	the plant makes a sugar molecule
list of measuring instruments rulers	purpose	- measure length
millipedes	purpose	millipedes break down dead matter
need object energy agent living things	purpose	living things grow -
need object energy agent living things	purpose	living things repair cells
other bacteria	purpose	- decompose animals
plant roots	purpose	physical support
radio waves	purpose	- transmit messages
staying arg dry	purpose	warm
the bacteria	purpose	- release certain nutrients into the ground
the balance	purpose	- compare the mass of two different objects
the bird 's songs	purpose	- declare territory
the bird 's songs	purpose	- attract mates
the fibrous root	purpose	the main function of the fibrous root anchor the plant
the roots	purpose	the main function of the roots absorb water
the soil	purpose	other plants grow -
the sun 's light energy	purpose	- convert water into sugars
the wind	purpose	- evaporate the water arg faster
their stomachs	purpose	them digest plants
time to mate color	purpose	- attract mates
vibrating agent electronic devices object magnets	purpose	electronic devices made sounds
a lot break the bonds	requirement	- a lot of heat
- transport molecules through cell walls arg actively	requirement	energy
- make a phase change	requirement	latent heat
good health	requirement	regular exercise
physical fitness	requirement	regular exercise
- change a liquid into a gas	requirement	thermal energy
